"sep=;";;;;;;;;;;;
slug;name;description;parent;keywords;icon;header_type;header_image;header_image_align;category_featured;header_height;taxonomy_image
";albania;";Albania;;;;;;;;;;
";australia;";Australia;;;;;;;;;;
";austria;";Austria;;;;;;;;;;
";belgium;";Belgium;;;;;;;;;;
";bosnia-and-herzegovina;";Bosnia and Herzegovina;;;;;;;;;;
";brazil;";Brazil;;;;;;;;;;
";bulgaria;";Bulgaria;;;;;;;;;;
";canada;";Canada;;;;;;;;;;
";china;";China;;;;;;;;;;
";cyprus;";Cyprus;;;;;;;;;;
";czeck-republic;";Czeck Republic;;;;;;;;;;
";denmark;";Denmark;;;;;;;;;;
";finland;";Finland;;;;;;;;;;
";france;";France;;;;;;;;;;
";germany;";Germany;;;;;;;;;;
";great-britain;";Great Britain;;;;;;;;;;
";iceland;";Iceland;;;;;;;;;;
";india;";India;;;;;;;;;;
";iran;";Iran;;;;;;;;;;
";ireland;";Ireland;;;;;;;;;;
";israel;";Israel;;;;;;;;;;
";italy;";Italy;;;;;;;;;;
";japan;";Japan;;;;;;;;;;
";latvia;";Latvia;;;;;;;;;;
";new-zealand;";New Zealand;;;;;;;;;;
";northern-ireland-gbr;";Northern Ireland GBR;;;;;;;;;;
";norway;";Norway;;;;;;;;;;
";palestine;";Palestine;;;;;;;;;;
";poland;";Poland;;;;;;;;;;
";portugal;";Portugal;;;;;;;;;;
";russia;";Russia;;;;;;;;;;
";sctoland-gbr;";Sctoland GBR;;;;;;;;;;
";slovenia;";Slovenia;;;;;;;;;;
";south-africa;";South Africa;;;;;;;;;;
";spain;";Spain;;;;;;;;;;
";sweden;";Sweden;;;;;;;;;;
";switzerland;";Switzerland;;;;;;;;;;
";syrian-arab-republic;";Syrian Arab Republic;;;;;;;;;;
";the-netherlands;";The Netherlands;;;;;;;;;;
";turkey;";Turkey;;;;;;;;;;
";united-states;";United States;;;;;;;;;;
";chile;";Chile;;;;;;;;;;
";nigeria;";Nigeria;;;;;;;;;;
";indonesia;";Indonesia;;;;;;;;;;
";vietnam;";Vietnam;;;;;;;;;;
";taiwan;";Taiwan;;;;;;;;;;
";hong-kong;";Hong Kong;;;;;;;;;;
";korea;";Korea;;;;;;;;;;
";singapore;";Singapore;;;;;;;;;;
";pakistan;";Pakistan;;;;;;;;;;
";mali;";Mali;;;;;;;;;;
";tunisia;";Tunisia;;;;;;;;;;
";philippines;";Philippines;;;;;;;;;;
